channel_id,category_name,duration,tags,description,on_trending_date,off_trending_date,on_rank,off_rank,on_views,off_views,on_likes,off_likes,on_dislikes,off_dislikes,on_comments,off_comments,on_channel_subscribers,off_channel_subscribers,on_channel_total_views,off_channel_total_views,on_channel_total_videos,off_channel_total_videos,new_tags,Month
CHM64Ik,People & Blogs,PT13M45S,"['tmi', '정보', '여자', '궁금증', '남자']","오피니언 구독자 여러분들 안녕하세요!오늘 영상은 1주년 기념 영상!어제에 이어서 2탄인건 안비밀입니다!저희가 1년이라니ㅜㅜ 이게 다 구독자 여러분들 덕분입니다!앞으로도 열심히하는 오피니언이 되겠습니다!00:00 Intro00:25 크게 아팠던 경험01:11전 애인에게 연락이 온다면?01:55 전 애인 번호 삭제 vs 차단?02:13 최애동물02:28 친한 사람에게만 하는 행동?02:47 사랑하면 하는 행동03:06 술 음료 차 물03:34 잘 자 후 폰 vs 취침03:49 나는 주로 이렇게 입는다04:45 내 최고의 흑역사05:52 나는 눈물에 약하다 vs 냉정하다06:28 과거 생각을 자주 vs 거의 안함?06:55 요리를 잘한다 vs 못한다07:36 내 베프들의 공통점은?08:21 버릇,습관09:30 새벽형 아침형 저녁형 인간09:45 무섭거나 싫어하는 것11:07 편식 한다 vs 안한다11:59 전화 vs 문자 12:24 감사인사",2021-04-05,2021-04-05,47,47,119325,119325,3171,3171,26,26,289,289,217000,217000,44580965,44580965,101,101,남자,4
CHu38Cq,People & Blogs,PT34S,['shorts'],★ 진자림 트위치https://www.twitch.tv/jinjalim★ 진자림 인스타그램https://www.instagram.com/jinjalim72/#Shorts,2021-04-03,2021-04-04,36,48,307160,434375,6979,8227,186,321,963,1074,484000,484000,115062707,115323495,279,279,shorts,4
CHn64fS,Howto & Style,PT3M13S,"['새송이볶음', '버섯무침', '쉬운요리', '새송이조림', '버섯구이', '버섯', '새송이버섯', '새송이버섯요리', '버섯먹방', '요리', '맛잇는요리', '새송이요리', '버섯요리', '새송이전', '새송이버섯구이']",새송이버섯 2개어묵 1장부추 4줄쪽파 4줄홍고주 1개청고추 1개마늘 5개설탕 1스푼굴소스 1스푼식초 1스푼깨뜨거운 기름파슬리구독은 무료입니다.감사합니다.비지니스 문의 alstlr9202@gmail.com,2021-04-08,2021-04-08,38,38,99085,99085,978,978,43,43,65,65,8810,8810,1763011,1763011,20,20,요리,4
CHqsPmf,Comedy,PT6M8S,"['빵송국', 'mad monster', '컴백', '남돌', '매드몬스터탄', '이호창', 'b대면데이트', '1군돌', '김해준', '제이호', '피식대학', '최준', '이창호', '아이돌', 'v라이브', '비대면데이트', '신곡', '직캠', '음방', '곽범']",#내루돌프 #매드몬스터 #스노우매드몬스터 스노우 계정 팔로우 하러 가랏! 포켓몬스터! ↓https://snow.onelink.me/4056789859/ec08352e매드몬스터 공식 인스타그램 : @madmonster_officialhttps://www.instagram.com/madmonster_official,2021-04-23,2021-04-23,42,42,323487,323487,7993,7993,60,60,2028,2028,158000,158000,22778022,22778022,90,90,아이돌,4
CHa56qk,Entertainment,PT27M55S,"['5만칼로리 삼대장', '24시간 먹방', '50000칼로리', '삼대장 챌린져스', '소고기', '삼대장 먹방', '심심먹방', '닭고기 먹방', '삼대장 심심먹방', '돼지고기', '삼대장 24시간', '치킨 먹방', '삼겹살 먹방', '파뿌리 24시간', '삼대장 칼로리', '스테이크 먹방']",너무 많은 고기 섭취는 영양 밸런스를 무너뜨립니다.---------------------------------------------------------------------삼대장 인스타그램 ☞  samdaejang경원 인스타그램 ☞  woney2ny재영 인스타그램 ☞  nowzero92도윤 인스타그램 ☞  creyoon#삼대장 #고기먹방 #소고기 #돼지고기 #닭고기 #치킨 #삼겹살 #먹방,2021-04-05,2021-04-05,37,37,258738,258738,3692,3692,145,145,799,799,895000,895000,450406040,450406040,971,971,먹방,4
CHqsPmf,Comedy,PT8M4S,"['차진석', '임플란트티드키드', '비대면데이트', '신제품', '방재호', 'b대면데이트', '이호창', '커피', '최준']",#매일유업 #바리스타룰스https://bit.ly/2PVSKtd,2021-04-19,2021-04-22,18,45,351487,726145,13261,21070,74,140,3461,5060,141000,153000,20605758,22019542,89,90,아이돌,4
CHqsPmf,Comedy,PT4M58S,"['이창호', '혼술', '아이돌', '얼빠', '매드', '맥주', '매드엔터', '카스', '곽범', '뮤직비디오', '매드타운', '메이킹필름', '탄', 'mv', '비하인드', '제이호']",#매드몬스터 #내루돌프 #카스,2021-05-02,2021-05-05,17,49,724120,1355230,15784,20310,205,420,4070,4942,232000,256000,33062963,39344037,95,95,아이돌,4
CHszFjh,Film & Animation,PT8M25S,"['애니메이션', '더빙', '병맛더빙', '짤툰', '웹툰', 'ytccon', '병맛', '만화']","이 만화는 무료로 웃겨줍니다![배급 : 빅픽처팀] [기획 : 비크리스피] [제작 : 짤태식 스튜디오]각본 - 짤태식 / 작화 - 최수빈,김혜은 (feat. 이유진, 최혁준) / 도움 - 김태훈, 황현식, 장다현, 김주은, 이유진, 최지영, 윤남우, 황태훈 / 성우 - 짤태식, 성현희#짤툰#애니메이션#짐승친구들#실험쥐",2021-04-30,2021-05-04,2,46,1574234,2508041,37351,47553,693,1108,10279,12018,1490000,1500000,614349574,621356845,256,260,ytccon,4
CHuh6Br,Education,PT11M57S,"['쌍화차', '아이템의인벤토리', '스타벅스', '어디서', '아이템', '드립', '카페베네', '유래', '롯데리아', '맥도날드', '거짓말', '쿠폰', '낚시']",백십다섯 번째로 알아볼 것은 '가짜 광고들' 입니다.광고로 낚시할거면 좀만 살살해주지 거이 악물고 빡시게 만들어서 안 속을 것도 속을 때가 있죠?여기 공중파까지 타버렸던 사건들이 있습니다.#카페베네 #맥도날드 #롯데리아 #스타벅스BGM 정보 ::Track: RetroVision - Campfire [NCS Release]Music provided by NoCopyrightSounds.Watch: https://youtu.be/geOGWGe0aB8Free Download / Stream: http://ncs.io/CampfireYO00:00 인트로00:23 카페베네 쌍화차 대참사05:13 롯데리아 새우버거 대참사08:03 스타벅스 공짜 커피 대 참사11:23 아웃트로,2021-04-12,2021-04-15,34,46,272969,395863,4442,5454,88,138,821,987,472000,472000,105882474,106409656,152,152,드립,4
CHuh6Br,Education,PT9M17S,"['엄마크리', '아이템의인벤토리', '되팔렘', '엄크', '어디서', '블리자드', '아이템', '드립', '유래', '신박하다']","백십여섯 번째로 알아볼 것은 '블리자드발 드립' 입니다.대한민국을 지배했던 그 게임사 블리자드,지금이야 과거의 영광이겠지만 그 당시에 블리자드가 만들어낸 드립은ㄹㅇ루다가 한 두개가 아닙니다뭐뭐 있는지 하나씩 알아볼까용?#블리자드BGM 정보 ::Track: RetroVision - Campfire [NCS Release]Music provided by NoCopyrightSounds.Watch: https://youtu.be/geOGWGe0aB8Free Download / Stream: http://ncs.io/CampfireYO00:00 인트로00:38 신박하다03:47 되팔렘06:00 XX 크리08:43 아웃트로",2021-04-19,2021-04-19,43,43,233224,233224,4587,4587,104,104,923,923,472000,472000,107003172,107003172,153,153,드립,4
CHszFjh,Film & Animation,PT5M47S,"['애니메이션', '더빙', '병맛더빙', '짤툰', '웹툰', 'ytccon', '병맛', '만화']","이 만화는 무료로 웃겨줍니다![배급 : 빅픽처팀] [기획 : 비크리스피] [제작 : 짤태식 스튜디오]각본 - 짤태식 / 작화 - 최수빈(feat. 김혜은) / 도움 - 김태훈, 황현식, 안송주, 장다현, 김주은, 이유진, 최지영, 윤남우, 황태훈, 최혁준 / 성우 - 짤태식, 성현희#짤툰#애니메이션#짐승친구들#셀프미용",2021-04-09,2021-04-09,34,34,1160820,1160820,21766,21766,394,394,3567,3567,1470000,1470000,583790665,583790665,241,241,ytccon,4
CHszFjh,Film & Animation,PT6M32S,"['애니메이션', '더빙', '병맛더빙', '짤툰', '웹툰', 'ytccon', '병맛', '만화']","이 만화는 무료로 웃겨줍니다![배급 : 빅픽처팀] [기획 : 비크리스피] [제작 : 짤태식 스튜디오]각본 - 짤태식 / 작화 - 김혜은 / 도움 - 김태훈, 황현식, 장다현, 김주은, 이유진, 최지영, 윤남우, 황태훈, 최혁준 / 성우 - 짤태식, 성현희#짤툰#애니메이션#짐승친구들#불청객",2021-04-19,2021-04-19,46,46,1014211,1014211,22134,22134,623,623,5387,5387,1480000,1480000,599630982,599630982,249,249,ytccon,4
CHhgOgR,Entertainment,PT13M6S,"['연애', '예서', 'web drama', '여사친', '사랑', '이별', '시영', '정예서', '남사친', '차였다', '드라마', '예나', '만남', '찼다', 'love', '로멘스']",#웹드라마 #이별문의메일 - short_paper@naver.com,2021-04-06,2021-04-08,36,41,470148,591263,10667,11990,81,90,1644,1756,552000,554000,105950880,106604445,114,114,drama,4
CHbCr1d,Entertainment,PT26M33S,"['제시 눈누난나', '강의건', '호현주', '양세형의숏터뷰', '화사', 'mobidic', '제시의쇼터뷰', '후댓비', '환불원정대', '토크쇼', '프롤로그', '쇼터뷰', '응원법', 'sbs', '모비딕', '힙합', '스브스', 'psy', 'who dat b', '깨워', 'paranoia', '2u', 'pnation', '숏터뷰', '인생 그래프', '제시카', '악인전', '제시쇼', '쎈언니', 'produce101', '놀면뭐하니', '제시', 'antidote', '제시 조정식', '조정식', '강다니엘 꺠워', '강다니엘 전참시', '제시 은비', '엄정화', '다니티', '정식의뢰', 'wannaone', '워너원', '제시 런닝맨', '눈누난나', '제시 유재석', 'jessi show', '언프리티랩스타', '엠씨', '피네이션', 'danity', '조정식 아나운서', 'yellow', '이효리', '웹예능', '양세형', '식스센스', '래퍼', '열어줘', 'wanna one', '언니쓰', '제시 인생은즐거워', 'jessi', '강다니엘', '제시발쇼', '프로듀스101 시즌2', '파라노이아', '프듀', '강다니엘 열어줘', '제시 이효리', 'showterview', 'interview', 'mc', '여자래퍼', '커넥트엔터테인먼트', '프로듀스101', '토크', '인생은즐거워']","이렇게 귀여운 대형견은 반칙이지..멍뭉미 매력으로 제시도 설레게 한쇼!터뷰의 해독제 강다니엘 💊🤍게스트가 직.접.준비해 온 특별한 코너와오직 제시만이 부를 수 있는 신곡 응원법이 궁금하다면?거침없는 제시의 기상천외한 솔직담백 인터뷰 《제시의 쇼!터뷰》 46화매주 (목) 오후 6시 30분 💗모비딕 채널로 놀러오show!💗#제시의쇼터뷰 #제시 #강다니엘 #모비딕[이벤트]쇼터뷰 강다니엘 편을 보고 감상평 또는 응원글을 남겨주세요!추첨을 통해 강다니엘 친필 사인 폴라로이드를 드립니다🎁💖✔️ 참 여 방 법 : 46화 강다니엘 편 감상평 작성 + 이메일 주소 댓글 달기 ✔️ 기        간 : 4/15 (목) ~ 4/21 (수)✔️ 발        표 : 4/22 (목) 제시의 쇼터뷰 47화 영상 본문에 공지✔️ 상        품 : 강다니엘 친필 사인 폴라로이드 (3명)※ 국내 거주자 한정 ※영문 번역: 류지연(KAEL RESET)모비딕 좋아요❤️, 구독🚨, 알림🔔▶️모비딕 구독하기 https://goo.gl/v2b6rR※ 본 촬영은 코로나19 바이러스 확산 방지를 위한 체온 측정, 손 소독 등 개인위생과 공공보건에 유의하여 진행되었습니다. ※.",2021-04-17,2021-04-18,17,33,703333,914144,0,0,0,0,5843,6823,823000,825000,251622861,252235563,1044,1045,제시,4
CHSB5FO,Entertainment,PT2M14S,"['마블 영화', '마블 히어로', '어벤져스', '닥터스트레인지', '아이언맨', '앤트맨', '마블총정리', '캡틴아메리카', '마블 만화', 'marvelkorea', '마블 예고편', '예고편', 'marvel studio', '엔드게임', '마블', '마블 명장면', 'trailer', '블랙위도우', '마블 ost', 'marvel']",액션의 차원이 다른 스펙타클함!새로운 마블의 포문을 열 NEW 히어로 등장![샹치와 텐 링즈의 전설] 티저 예고편 전 세계 동시 공개!#마블 #샹치 #샹치와텐링즈의전설 #2021대개봉■ 마블 코리아 구독하기https://www.youtube.com/user/MarvelKorea* 페이스북 : https://www.facebook.com/marvel.kr* 인스타그램 : https://www.instagram.com/marvelkorea (@marvelkorea)* 홈페이지 : http://www.disney.co.kr,2021-04-21,2021-04-22,16,36,181079,273664,2178,2513,413,577,1757,2168,123000,123000,39458727,39599669,283,283,마블,4
CHPx-7A,Entertainment,PT19M58S,"['정남규연쇄살인사건', '장성규', '장도연', '살인의추억', '꼬꼬무유튜브', '그것이알고싶다', '꼬꼬무2요약', '꼬꼬무출연진', '유영철', 'sbs꼬꼬무', '장트리오', '꼬리에꼬리', '이춘재', '권일용', '꼬꼬무재방송', '꼬꼬무2', '꼬꼬그', '정남규', '꼬꼬무', '그알', '꼬꼬무요약', '꼬꼬무다시보기', '장항준', '꼬꼬무시즌2', '꼬리에꼬리를무는그날이야기', '달리꼬꼬무', '연쇄살인범', '꼬꼬무시간', '쾌락형살인범', '화성연쇄살인사건', '꼬꼬무시즌']","#꼬꼬무2 #꼬꼬무요약 #정남규연쇄살인사건2004년, 서울 전역을 공포에 몰아넣은 사건이 발생했다. 추적추적 비 내리는 5월의 어느 새벽. 한 여대생이 서울 보라매 공원을 비틀거리며 걷고 있었다. 위태로워 보이던 그녀는 행인에게 다가가 말을 걸었다.“아저씨 도와주세요… 모르는 사람이 다짜고짜 칼로 찔렀어요.”여대생은 그 말을 마지막으로… 숨을 거뒀다. 그 이후에도 증거 하나 발견되지 않는 ‘미궁의 살인사건’이 수도권 전역을 휩쓸며 ‘연쇄살인’의 공포는 점점 커져만 갔다.도대체 누가, 어떤 이유로, 무고한 사람의 생명을 노린 것일까.장도연, 장성규, 장항준, 세 이야기꾼이 전하는꼬리에 꼬리를 무는 그날 이야기2 6회 악마를 보았다 : 정남규 연쇄살인 사건 (2021.04.15 방송)[꼬리에 꼬리를 무는 그날 이야기2] 풀영상 다시보기▶ 꼬꼬무 홈페이지 : https://programs.sbs.co.kr/culture/2021tail/main▶ 웨이브(wavve) : https://www.wavve.com/​",2021-04-20,2021-04-23,4,41,675675,1244546,6727,11261,273,516,1131,2055,328000,333000,63209468,65257367,239,241,꼬꼬그,4
CH2aMxQ,Entertainment,PT19M58S,"['김태원기타연주', '부활', '기타신동', '박완규', '일렉기타천재', '일렉기타', '초딩신동', '펜더엠프', 'panda j', '기타천재', '신동', '박완규초딩', '장태희', '10살 기타 신동', '김태원클라쓰', '김태원기타', '기타', '김태원초딩', '초딩기타', '김태원']",#김태원 #박완규 #기타신동세상에는 진짜 천재가 너무 많습니다 하아..웃픕니다..출연 및 제보 문의 : ktwclass10002@gmail.com▬▬▬▬출처▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬🎵Music provided by 브금대통령🎵Track : 12(개)간지 - https://youtu.be/TEX3P2QEAdU​​​​​​​▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬,2021-05-02,2021-05-03,31,36,185868,291979,5313,7074,69,93,623,783,109000,111000,12365437,12666251,67,67,기타,4
CHMEbRp,News & Politics,PT8M1S,"['news network', '브레이브걸스 유정', '쁘걸', '오리온', 'videomug', '꼬북칩', 'sbs videomug', '유정', '오리온 꼬북칩', '브레이브걸스', '롤린', '꼬북좌', '비디오머그']","브레이브걸스 꼬북좌, 유정 씨가 드디어(!) 오리온 스낵 꼬북칩의 광고 모델로 기용되어 촬영을 마쳤습니다. 비디오머그가 현장을 찾아가보았는데요. 이날 촬영장에는 특히 한 커뮤니티에서 자신을 '꼬북좌의 팬이자 꼬북칩 마케터'라고 밝힌 뒤 '광고 계약 확정' 소식까지 전해 팬들의 지지를 한몸에 받은 마케터도 등장했습니다. '오리온좌'라 불리는 마케터의 심경고백부터 꼬북좌 유정과의 투샷을 단독 공개합니다.글·구성 : 이세미 / 영상취재 : 최준식·신동환 / 편집 : 한만길 / 디자인 : 최진영 / 담당 : 박하정✔신뢰할 수 있는 재미, 비디오머그 VIDEOMUG#비디오머그 #브레이브걸스 #오리온 #VMG▶비디오머그 채널 구독하기 : https://n.sbs.co.kr/mugTube▶Homepage : https://n.sbs.co.kr/videomug▶Facebook : https://www.facebook.com/videomug▶Twitter : https://twitter.com/videomug_sbs",2021-04-16,2021-04-17,13,27,554862,694734,10525,12070,96,118,1554,1751,991000,992000,1550105623,1552285946,4832,4837,videomug,4
CH_pwIX,Music,PT4M6S,"['다비치', 'kpop', 'davichi', 'stone music entertainment', '다비치 그냥 안아달란 말야', 'just hug me', 'just hug me mv', '케이팝', 'just hug me 뮤비', 'kculture korean music mv music video kpop kpop 뮤비 뮤직비디오']","다비치 (DAVICHI) - 그냥 안아달란 말야 (Just hug me) MV 입니다.'그냥 안아달란 말야달라진 일상과 너마저 없는 하루가 상상이 안돼'따스한 햇살이 드리우는 4월의 봄, 또 하나의 아련미와 경쾌함이 돋보이는 미디엄 발라드 곡으로 돌아온 다비치!'그냥 안아달란 말야'는 여러 가지 문제로 인해 가슴 아픈 이별을 했지만 이별 뒤 다시 만난 순간 서로에게 남아있는 감정을 느끼고 그 어떤 말과 변명, 문제 해결보다 그냥 사랑하는 마음으로 따뜻하게 안아주길 원한다고 솔직하게 이야기하는 노래이다.연인, 넓게는 인간관계에서 단절 뒤에 느끼는 후회와 진심, 마음의 변화까지 솔직하게 표현해내며 많은 이들과의 공감을 이뤄낼 수 있는 곡으로 다비치표 전매특허 미디엄 발라드 특유의 경쾌함은 물론 서정적인 멜로디와 악기선율, 그리고 이들의 섬세하고 청량한 보컬이 아름답게 조화되어 돋보이는 곡이다.Composed by 아르마딜로Lyrics by 다비치, Peridot, 아르마딜로Arranged by 아르마딜로Chorus by 다비치Bass by 이성찬Piano by 전상민Guitar by 정소리Strings by 융스트링String Arranged by 이나일Computer Programming by 아르마딜로Recorded by 장우영 @ doob doob StudioDigital Editing by 장우영 @ doob doob StudioMixed by 정기홍 (asst. 최다인, 이찬미) @ Seoul StudioMastered by 권남우 @ 821 SoundOriginal Publisher : JYP Publishing (KOMCA)",2021-04-15,2021-04-15,33,33,154560,154560,6905,6905,60,60,513,513,9660000,9660000,7375733468,7375733468,7380,7380,music,4
CHFX6ad,Science & Technology,PT10M15S,"['아이패드', '아이패드프로5세대', '아이패드프로', '애플이벤트']","4월 21일 애플이벤트에서 아이패드 프로 5세대가 공개되었습니다.M1칩셋으로 시작하여, 미니LED를 거쳐 가격으로 마무리짓기 까지처음부터 끝까지 놀라움을 감출 수 없었는데요.어떤 점이 달라졌고, 어떤 점이 기대가 되는지같이 자세히 살펴봅시다.*카페 주소 : https://cafe.naver.com/techmong*비즈니스 문의 : clauds@naver.com*인스타그램 : https://www.instagram.com/techmong/#아이패드 #애플이벤트 #아이패드프로 #아이패드프로5세대",2021-04-23,2021-04-23,45,45,194092,194092,3476,3476,121,121,1328,1328,565000,565000,68469238,68469238,306,306,갤럭시탭,4
CHYnfy2,People & Blogs,PT8M2S,"['배떡먹방', '떡볶이먹방', '배떡로제떡볶이먹방', '명랑핫도그', '로제떡볶이조합', '로제떡볶이추천', '배떡로제떡볶이후기', '핫도그먹방', '치팅데이', '먹방', '핫도그추천']",인스타그램 : http://www.instagram.com/juy93/(수익 전액 기부) 돼지 머리띠 : https://bit.ly/3mlFYzP​(수익 전액 기부) 소주 코인 목걸이 : https://bit.ly/3cPXkS7#배떡 #나는일어나지벌떡 #로또1등은그림의떡,2021-04-15,2021-04-16,32,45,341592,387173,8759,9318,160,200,1338,1412,460000,461000,67236255,67460509,126,126,다이어트자극,4
CHyozK5,Entertainment,PT16M33S,Null,"💗⬇⬇⬇더 보기를 눌러주세요💗부모님께서 평소에 드셔보시기 어려운 식재료들을 이용해서 특별한 코스요리를 준비해봤어요.비용은 상당히 많이 들었지만, 제게는 매우 의미있는 시간이었습니다. 꼭 해야만 하는 일 한가지를 해낸 기분이랄까요? ㅎㅎ#킹크랩코스 #3대진미 #엄마아빠   💎요남 굿즈 페이지 https://yonam.net🎓취미로 요리하는 남자의 온라인 수비드 강의 https://class101.app/e/Yonam-class📸인스타그램https://www.instagram.com/yonamism/🖥페이스북https://www.facebook.com/yonamism📌자주 묻는 질문 QnA영상https://www.youtube.com/watch?v=AoicwJ1zvPU-이 음악은 멜론에 없을 수 있습니다. 유튜브 혹은 에피데믹사운드에 검색하세요-Dansez - FasionDon't Understand - Dylan SittsDone My Time Out in the Cold - Blue TopazIn Denial - Gloria TellsLook into My Eyes - GreylynPixel Ghost - HiP CoLouRRiding Lower - OTEES_Salt Lamp - JobiiWe Need to Calm Down - Particle House🔔제가 사용하는 제품정보.🍳조리도구월넛상판 - 도마용 본드를 사용해 직접 만들었습니다.도마 - heters 엔드그레인황동월넛팔각도마 - yonam.net 자체제작칼 - Chroma type301 10인치 쉐프나이프 칼 - Chroma type301 8인치 카빙나이프 수비드머신 - 아노바나노, Joule 230v, 수비드수프림 9L 블랙, 11L 스텐진공머신 - foodSaver, 위즈웰진공팩 - foodsaver감자 슬라이서 – GEFU스탠팬 - 플래티나 검정팬 - 에지리 양면코팅 검정웍 - 에지리 양면코팅 뚜껑포함 궁중팬 코팅팬 - 엑스칼리버 하트만 버너 - 파워플레이트 NO3 집게 - yonam.net 자체제작가위 - 토리베 랍스터가위 - JS다이닝스페츌러 - 토볼로사시미 - 무네카게 키리츠케 , 우마노스케 청일강 키리츠케 330페스트리 챠퍼 – 우든스끼바커트러리 - 큐티폴고아 후추그라인더 - adhoc 페퍼밀 강판 - 마이크로플레인 마스터 제스터핸드블렌더 - 바믹스칼가방- JS다이닝🚐캠핑장비아이스박스 - 이백쿨러 카고백 - 버팔로랜턴 - 녹턴랜턴 - 루미에르캠핑 테이블 - 스노우피크 IGT테이블 커스텀 (파츠별로 골라서 조립하는 시스템입니다.)캠핑 높낮이 조절 그릴  - 스노우피크 리프트업그릴캠핑 바비큐박스 – 우드앤번 모델 구매 후 스텐판 자체제작 등 개조해서 만들었습니다검정색 나무쟁반 - 블랙골드 우드박스접시 – 스푼센스 비스트로🎬편집Yonam성정화",2021-04-16,2021-04-19,12,47,446746,887025,9394,15255,121,238,1292,1722,1150000,1150000,85891008,86801750,61,61,요남,4
CHYnfy2,People & Blogs,PT15M22S,"['단기다이어트', '건미역', '다이어트영상', '다이어트자극', '미역국수', '미역요리', '일주일다이어트', '원푸드다이어트', '미역국', '생미역', '물미역', '다이어트방법']",단기간의 무리한 다이어트는 건강을 해칩니다.건강한 다이어트란 적게 먹고 많이 움직이는 것이죠.하나의 컨텐츠로 봐주시면 감사하겠습니다.인스타그램 : http://www.instagram.com/juy93​(수익 전액 기부) 돼지 머리띠 : https://bit.ly/3mlFYzP(수익 전액 기부) 소주 코인 목걸이 : https://bit.ly/3cPXkS7#서울역 #악역 #주단태,2021-04-08,2021-04-09,23,25,383186,446585,9934,10691,133,158,1559,1688,455000,456000,65868186,66133912,125,125,다이어트자극,4
CH78PMQ,Entertainment,PT18M5S,"['범죄심리', '김상욱', '알쓸범잡', '양정우', '정재민', '형제복지원', '장항준', '사이코패스', '알아두면쓸데있는범죄잡학사전', '윤종신', '박지선']",#알쓸범잡 #알아두면 쓸데있는 범죄 잡학사전 #양정우PD[알아두면 쓸데있는 범죄 잡학사전 - 알쓸범잡] EP.2MC 윤종신x범죄심리학자 박지선x법학박사 정재민x과학박사 김상욱x영화박사 장항준매주 (일) 밤 10시 50분 tvN 방송,2021-04-14,2021-04-15,13,35,595736,725948,5216,6331,136,173,668,826,3160000,3160000,4327602366,4331372964,56940,56959,김상욱,4
CH20WKI,Comedy,PT3M59S,"['기유tv', '하준수 그림', '하준수 캐리커쳐', '코빅 개그맨', '하카소']",#강재준 #하준수 #이은형기분나빠하지 않기인스타 DM만 받습니다인스타ID jun_soo89,2021-04-21,2021-04-21,23,23,203838,203838,5144,5144,40,40,687,687,23500,23500,355773,355773,3,3,하준수,4
CHDBAVz,Gaming,PT12M9S,"['트위치', '롤', '괴물쥐', '리그오브레전드', '원딜']",▷트위치 생방송  - https://www.twitch.tv/tmxk319▶MONSRAT굿즈 - https://www.charonstore.com/#포트쉐타이칸 #브이로그,2021-04-04,2021-04-07,9,45,585717,810892,7342,8833,286,475,1928,2166,840000,842000,488908148,492176717,738,741,괴물쥐,4
CHDBAVz,Gaming,PT17M8S,"['트위치', '롤', '괴물쥐', '리그오브레전드', '원딜']",▷트위치 생방송  - https://www.twitch.tv/tmxk319▶MONSRAT굿즈 - https://www.charonstore.com/#포르쉐타이칸 #사고 #브이로그,2021-04-04,2021-04-07,6,32,568837,820094,6225,7518,170,347,1608,1849,840000,842000,488908148,492176717,738,741,괴물쥐,4
CH78PMQ,Entertainment,PT2M40S,"['넉살', '윤박', '엄정화', '성시경', '온앤오프']",#온앤오프화요일 밤 10시 30분 tvN,2021-04-21,2021-04-21,33,33,692893,692893,3901,3901,105,105,535,535,3170000,3170000,4356112800,4356112800,57105,57105,김상욱,4
CH_6zPf,Entertainment,PT3M27S,"['music', 'korean', 'korea', 'asc', 'simply kpop', 'kpop', 'idol', '뮤직', 'bravegirls', 'girlgroup', '걸그룹', '롤린', '댄스', 'arirangtv', 'pops in seoul', '음악방송', 'dance', '아이돌', 'arirang', '브레이브걸스', 'rollin', 'k팝', 'after school club']","Brave Girls 'Rollin''With “Rollin’” released in 2017, Brave Girls is writing new history, climbing up and capturing the highest spot on the music charts. Unforgettable upon listening to it, “Rollin’” is a refreshing uptempo EDM song of the tropical house genre with an addictive chorus.브레이브걸스 '롤린'4년 전 발매된 브레이브걸스의 '롤린 (Rollin')'이 각종 음원 사이트에서 1위를 차지하며 역주행 신화를 새롭게 쓰고 있다. ‘롤린 (Rollin')' 은 경쾌한 업템포의 EDM 곡으로, 한번 들으면 쉽게 잊혀지지 않는 Rollin' - Rollin' - Rollin' 이라는 중독성 있는 후렴과 트로피컬 장르 특유의 재미있는 사운드가 인상적이다.#BraveGirls #Rollin #브레이브걸스 #롤린",2021-04-04,2021-04-07,7,29,605924,1416560,14294,25729,154,378,1044,1940,1710000,1710000,666014464,668258604,26910,26911,kpop,4
CHt_UFh,Comedy,PT10M19S,"['선양공주', '레이디액션', '잼민이의삶', '24시간 밀착취재', '임선양', '레이디액션 참교육', '레이디액션 유형', '임슬기', '밀착 취재', '레이디 액션']",[레이디액션's PROFILE]   임선양 / 27   임슬기 / 27#잼민이의삶 #밀착취재 #레이디액션오늘도 레이디액션의 영상을 재밌게 봐 주셔서 감사합니다 :)▶광고 및 협찬 문의용 메일 : ladac95@naver.com▶유튜브 구독하기 : https://www.youtube.com/channel/UCt_UFhBBHk5rQPQv12Y7RHg▶페이스북 팔로우 : https://www.facebook.com/ladyaction624▶인스타그램 주소 :임선양 https://www.instagram.com/sunyang0ju/임슬기 https://www.instagram.com/seulgoooooo/,2021-04-16,2021-04-17,30,49,270965,323865,7898,8519,188,249,1635,1764,509000,510000,208975841,209388385,317,317,레이디액션,4
CH20WKI,Comedy,PT3M29S,"['코빅', '하카소', '하준수 그림', '하준수 캐리커쳐']",#이국주 #하준수 #홍윤화역대급 작품입니다즐거운 감상되시길 바랍니다,2021-04-25,2021-04-25,29,29,311451,311451,10571,10571,218,218,1528,1528,45100,45100,1191291,1191291,4,4,하준수,4
